palavra:frases_1:frases_2:tradução_1:tradução_2
sparse:The vegetation in this region is sparse; we had to carry extra water. : Internet coverage is sparse in remote areas so planning is necessary.:A vegetação desta região é esparsa; tivemos que carregar água extra.:A cobertura da Internet é escassa em áreas remotas, por isso é necessário planejamento.
district:The new policy will be piloted in one district; officials will evaluate results. : Each district has a manager responsible for local services.:A nova política será testada num distrito; os funcionários avaliarão os resultados.:Cada distrito tem um gestor responsável pelos serviços locais.
stratum:The archaeologists examined each stratum carefully; artifacts were found at different depths. : In social studies, researchers analyzed data by income stratum.:Os arqueólogos examinaram cuidadosamente cada estrato; artefatos foram encontrados em diferentes profundidades.:Nos estudos sociais, os pesquisadores analisaram os dados por estrato de renda.
arbitrary:Choosing participants by arbitrary rules can bias the study; use random sampling instead. : The assignment of tasks seemed arbitrary and frustrated the team.:A escolha dos participantes por regras arbitrárias pode enviesar o estudo; use amostragem aleatória.:A atribuição de tarefas parecia arbitrária e frustrava a equipe.
indeed:She was indeed the best candidate for the job; everyone agreed with the choice. : The news was surprising indeed but not entirely unexpected.:Ela era de fato a melhor candidata para o cargo; todos concordaram com a escolha.:A notícia foi realmente surpreendente, mas não totalmente inesperada.
were:There were many questions after the presentation; the speaker answered them all. : There were several errors in the report, so we revised it.:Houve muitas perguntas após a apresentação; o palestrante respondeu a todas elas.:Havia vários erros no relatório, por isso o revisamos.
picking:He is picking fresh herbs from the garden; the soup will taste better. : Picking a good mentor early in your career can lead to faster growth.:Ele está colhendo ervas frescas do jardim; a sopa terá um sabor melhor.:Escolher um bom mentor no início de sua carreira pode levar a um crescimento mais rápido.
monitoring:Monitoring the servers helps prevent downtime; alerts notify the team of issues. : Long-term monitoring of patients can reveal subtle changes in health.:Monitorar os servidores ajuda a evitar tempos de inatividade; alertas notificam a equipe sobre problemas.:O monitoramento de longo prazo dos pacientes pode revelar mudanças sutis na saúde.
measure:We need a reliable measure to compare performance across teams; metrics were updated. : Use a tape measure to check the dimensions before buying the desk.:Precisamos de uma medida confiável para comparar o desempenho entre equipes; métricas foram atualizadas.:Use uma fita métrica para verificar as dimensões antes de comprar a mesa.
current:The current version of the software includes important security patches; update now. : At present, the current trend favors renewable energy investments.:A versão atual do software inclui patches de segurança importantes; atualize agora.:Actualmente, a tendência actual favorece os investimentos em energias renováveis.
self-aware:The campaign made the company more self-aware about its environmental impact; policies changed. : Being self-aware helps leaders recognize their biases and improve decisions.:A campanha tornou a empresa mais consciente do seu impacto ambiental; as políticas mudaram.:Ser autoconsciente ajuda os líderes a reconhecer seus preconceitos e a melhorar as decisões.
pick up:Can you pick up the package on your way home; it should arrive after noon? : He tried to pick up the new skill by practicing every day.:Você pode retirar o pacote no caminho para casa; deve chegar depois do meio dia?:Ele tentou adquirir a nova habilidade praticando todos os dias.
stack:She organized the books into a neat stack on the shelf; it saved space. : The developers used a technology stack that worked well for the project.:Ela organizou os livros em uma pilha organizada na estante; economizou espaço.:Os desenvolvedores usaram uma pilha de tecnologia que funcionou bem para o projeto.
needed:All the documents are needed for the application; please include them. : He realized more training was needed to handle the complex task.:Todos os documentos são necessários para a candidatura; por favor inclua-os.:Ele percebeu que era necessário mais treinamento para lidar com a tarefa complexa.
dependable:We need a dependable supplier who can deliver on time; past delays were costly. : Her colleagues consider her dependable because she always meets deadlines.:Precisamos de um fornecedor confiável que possa entregar no prazo; atrasos anteriores custaram caro.:Seus colegas a consideram confiável porque ela sempre cumpre prazos.
instead:He chose to walk instead of taking the bus; the weather was pleasant. : Instead of arguing, they agreed to revisit the proposal with new data.:Ele escolheu caminhar em vez de pegar o ônibus; o tempo estava agradável.:Em vez de discutir, concordaram em rever a proposta com novos dados.
except:Everyone was invited except Jamie; he was on a business trip. : The plan works for most scenarios except extreme cases where exceptions apply.:Todos foram convidados, exceto Jamie; ele estava em uma viagem de negócios.:O plano funciona para a maioria dos cenários, exceto casos extremos em que se aplicam exceções.
lastly:Lastly, remember to save your work before you close the program; autosave is not guaranteed. : Lastly, we will review the key takeaways from today’s meeting.:Por último, lembre-se de salvar seu trabalho antes de fechar o programa; o salvamento automático não é garantido.:Por último, analisaremos as principais conclusões da reunião de hoje.
standards:The laboratory follows strict safety standards to protect staff; inspections are regular. : Quality standards ensure that products meet customer expectations.:O laboratório segue rígidos padrões de segurança para proteger o pessoal; as inspeções são regulares.:Os padrões de qualidade garantem que os produtos atendam às expectativas do cliente.
spread across:The posters were spread across the city to attract more visitors; the campaign was visible. : Research sites are spread across several countries to ensure diversity.:Os cartazes foram espalhados pela cidade para atrair mais visitantes; a campanha era visível.:Os locais de pesquisa estão espalhados por vários países para garantir a diversidade.
fortunately:Fortunately, the package arrived on time despite the delay; the event went ahead. : Fortunately, no one was injured when the power went out.:Felizmente, o pacote chegou a tempo, apesar do atraso; o evento foi adiante.:Felizmente, ninguém ficou ferido quando faltou energia.
fairly:The exam was fairly straightforward for students who studied the material; most passed. : Prices in the region are fairly stable compared to last year.:O exame foi bastante simples para os alunos que estudaram o material; a maioria passou.:Os preços na região estão bastante estáveis ​​em relação ao ano passado.
might:She might join us for dinner if her meeting ends early; we’ll wait a little. : This approach might work, but we should test it first.:Ela pode jantar conosco se a reunião terminar mais cedo; vamos esperar um pouco.:Esta abordagem pode funcionar, mas devemos testá-la primeiro.
below:Temperatures dropped below freezing last night; plants were damaged. : The results were below expectations, so the team revised the strategy.:As temperaturas caíram abaixo de zero na noite passada; as plantas foram danificadas.:Os resultados ficaram abaixo das expectativas, por isso a equipe revisou a estratégia.
hopefully:Hopefully the software update will fix the bug; users reported fewer crashes. : Hopefully we will hear back from the client by tomorrow afternoon.:Esperamos que a atualização do software corrija o bug; os usuários relataram menos falhas.:Esperamos receber uma resposta do cliente amanhã à tarde.
briefly:He spoke briefly at the conference to introduce the main speaker; applause followed. : Please explain your idea briefly so we can move to questions.:Ele falou brevemente na conferência para apresentar o orador principal; aplausos se seguiram.:Explique brevemente sua ideia para que possamos passar às perguntas.
prone:Older phones are prone to battery issues after extensive use; replacement may be necessary. : The area is prone to flooding during heavy rains, so avoid low ground.:Telefones mais antigos estão sujeitos a problemas de bateria após uso extensivo; a substituição pode ser necessária.:A área está sujeita a inundações durante chuvas fortes, portanto evite terrenos baixos.
allows:This feature allows users to edit entries directly; it simplifies workflow. : The permit allows construction to begin next month after final approval.:Este recurso permite aos usuários editar entradas diretamente; simplifica o fluxo de trabalho.:A licença permite que a construção comece no próximo mês após a aprovação final.
spotting:Spotting small birds is easier at dawn when they are most active; bring binoculars. : Early spotting of errors in code saves time during testing.:Avistar pássaros pequenos é mais fácil ao amanhecer, quando estão mais ativos; traga binóculos.:A detecção precoce de erros no código economiza tempo durante os testes.
feeding:Feeding the community program relies on local donations; volunteers prepare meals weekly. : The machine requires regular feeding of paper to operate correctly.:A alimentação do programa comunitário depende de doações locais; voluntários preparam refeições semanalmente.:A máquina requer alimentação regular de papel para funcionar corretamente.
suddenly:The lights went out suddenly during the storm; we used candles to see. : She suddenly remembered the missing file and rushed to find it.:As luzes apagaram-se repentinamente durante a tempestade; usamos velas para ver.:De repente, ela se lembrou do arquivo perdido e correu para encontrá-lo.
